,REF_DATE,GEO,Population,Unemployment,Unemployment rate
403,2022-01,Ontario,12436.1,607.2,0.048825596449047534
404,2022-01,Prince Edward Island,136.8,9.0,0.06578947368421052
405,2022-01,Quebec,7123.5,230.7,0.03238576542429985
406,2022-01,Saskatchewan,891.8,33.8,0.03790087463556851
407,2022-02,Alberta,3580.2,161.4,0.045081280375398027
408,2022-02,British Columbia,4403.5,136.8,0.031066197343022597
409,2022-02,Canada,31588.8,1125.9,0.035642379577571805
410,2022-02,Manitoba,1057.1,31.7,0.029987702204143412
411,2022-02,New Brunswick,657.6,29.6,0.045012165450121655
412,2022-02,Newfoundland and Labrador,446.7,33.7,0.07544213118424
413,2022-02,Nova Scotia,831.7,32.7,0.03931706144042323
414,2022-02,Ontario,12454.900000000001,462.29999999999995,0.03711792146062994
415,2022-02,Prince Edward Island,137.2,8.8,0.06413994169096211
416,2022-02,Quebec,7126.9,200.6,0.028146880130210893
417,2022-02,Saskatchewan,893.0,28.200000000000003,0.031578947368421054
418,2022-03,Alberta,3586.6,155.7,0.04341158757597725
419,2022-03,British Columbia,4409.8,142.2,0.032246360379155514
420,2022-03,Canada,31626.9,1096.1999999999998,0.03466036823084146
421,2022-03,Manitoba,1058.8,33.2,0.031356252361163586
422,2022-03,New Brunswick,658.7,28.4,0.043115226962198265
423,2022-03,Newfoundland and Labrador,447.1,35.4,0.07917691791545514
